,1D,1W,2W,1M,3M,6M,9M,1Y
2018-9-3,2.277,2.621,2.665,2.716,2.887,3.207,3.413,3.502
2018-9-4,2.195,2.6,2.646,2.706,2.878,3.205,3.409,3.5
2018-9-5,2.164,2.552,2.623,2.696,2.85,3.2,3.403,3.5
,,,,,,,,
2018-9-6,2.494,2.633,2.638,2.7,2.845,3.201,3.407,3.5
,,,,,,,,
2018-9-7,2.591,2.673,2.705,2.712,2.851,3.202,3.409,3.5
,,,,,,,,
2018-9-10,2.573,2.679,2.715,2.723,2.842,3.209,3.414,3.5
,,,,,,,,
2018-9-11,2.59,2.686,2.735,2.735,2.848,3.213,3.419,3.501
,,,,,,,,
2018-9-12,2.557,2.675,2.734,2.751,2.846,3.216,3.437,3.513
,,,,,,,,
2018-9-13,2.53,2.663,2.732,2.76,2.843,3.222,3.447,3.521
,,,,,,,,
2018-9-14,2.489,2.645,2.714,2.756,2.83,3.224,3.452,3.5225
,,,,,,,,
2018-9-17,2.466,2.639,2.706,2.749,2.822,3.227,3.448,3.516
,,,,,,,,
2018-9-18,2.654,2.685,2.719,2.753,2.82,3.233,3.449,3.514
,,,,,,,,
2018-9-19,2.562,2.668,2.719,2.751,2.818,3.235,3.453,3.513
,,,,,,,,
2018-9-20,2.519,2.659,2.733,2.753,2.812,3.241,3.448,3.512
,,,,,,,,
2018-9-21,2.514,2.654,2.746,2.754,2.815,3.248,3.453,3.516
,,,,,,,,
2018-9-25,2.543,2.692,2.791,2.771,2.827,3.257,3.461,3.52
,,,,,,,,
2018-9-26,2.553,2.711,2.879,2.785,2.83,3.267,3.475,3.523
,,,,,,,,
,,,,,,,,
,,,,,,,,
2018-9-27,2.46,2.722,2.986,2.799,2.838,3.275,3.484,3.526
,,,,,,,,
2018-9-28,2.445,2.73,3.127,2.8,2.843,3.282,3.486,3.527
,,,,,,,,
2018-10-8,2.536,2.657,2.766,2.781,2.836,3.269,3.476,3.512
,,,,,,,,
2018-10-9,2.502,2.633,2.703,2.734,2.816,3.258,3.464,3.504
,,,,,,,,
2018-10-10,2.398,2.618,2.673,2.705,2.81,3.253,3.459,3.502
,,,,,,,,
2018-10-11,2.36,2.611,2.65,2.692,2.801,3.251,3.455,3.506
,,,,,,,,
2018-10-12,2.439,2.615,2.644,2.682,2.8,3.25,3.453,3.505
,,,,,,,,
2018-10-15,2.377,2.612,2.637,2.668,2.801,3.253,3.451,3.505
,,,,,,,,
2018-10-16,2.373,2.603,2.633,2.658,2.8,3.253,3.45,3.505
,,,,,,,,
2018-10-17,2.353,2.604,2.632,2.651,2.818,3.254,3.45,3.505
,,,,,,,,
2018-10-18,2.427,2.611,2.637,2.651,2.832,3.26,3.453,3.504
,,,,,,,,
2018-10-19,2.445,2.622,2.648,2.655,2.842,3.267,3.456,3.507
,,,,,,,,
2018-10-22,2.475,2.632,2.65,2.663,2.871,3.277,3.471,3.516
,,,,,,,,
2018-10-23,2.451,2.635,2.653,2.672,2.903,3.289,3.488,3.532
,,,,,,,,
2018-10-24,2.393,2.631,2.653,2.675,2.924,3.296,3.498,3.544
,,,,,,,,
2018-10-25,2.215,2.63,2.651,2.675,2.948,3.297,3.505,3.552
,,,,,,,,
2018-10-26,2.067,2.618,2.65,2.673,2.952,3.297,3.502,3.55
,,,,,,,,
2018-10-29,1.852,2.609,2.651,2.672,2.958,3.297,3.502,3.55
,,,,,,,,
2018-10-30,1.566,2.598,2.64,2.663,2.957,3.295,3.501,3.55
,,,,,,,,
2018-10-31,2.37,2.715,2.73,2.689,2.963,3.298,3.504,3.55
,,,,,,,,
2018-11-1,2.547,2.673,2.691,2.696,2.976,3.297,3.504,3.55
,,,,,,,,
2018-11-2,2.477,2.649,2.662,2.694,2.981,3.296,3.505,3.55
,,,,,,,,
2018-11-5,2.4345,2.638,2.652,2.691,2.986,3.294,3.505,3.55
,,,,,,,,
2018-11-6,2.27,2.613,2.646,2.684,2.991,3.294,3.504,3.55
2018-11-6,2.27,2.613,2.646,2.684,2.991,3.294,3.504,3.55
2018-11-6,2.27,2.613,2.646,2.684,2.991,3.294,3.504,3.55
2018-11-7,2.0906,2.595,2.626,2.68,2.997,3.297,3.505,3.551
2018-11-8,1.9780,2.6000,2.6190,2.6780,3.0000,3.2990,3.5060,3.5500
2018-11-9,2.0380,2.5990,2.6170,2.6710,3.0010,3.3000,3.5090,3.5520
2018-11-12,2.3090,2.6240,2.6270,2.6750,3.0010,3.3000,3.5100,3.5530
2018-11-13,2.4680,2.6330,2.6360,2.6850,3.0040,3.3000,3.5160,3.5580
2018-11-14,2.3250,2.6320,2.6380,2.6850,3.0080,3.2980,3.5120,3.5540
2018-11-15,2.3390,2.6290,2.6380,2.6850,3.0100,3.2960,3.5120,3.5500
2018-11-16,2.3450,2.6290,2.6410,2.6840,3.0230,3.2970,3.5130,3.5530
2018-11-16,2.3450,2.6290,2.6410,2.6840,3.0230,3.2970,3.5130,3.5530
2018-11-16,2.3450,2.6290,2.6410,2.6840,3.0230,3.2970,3.5130,3.5530
2018-11-19,2.5510,2.6430,2.6500,2.6860,3.0350,3.2930,3.5100,3.5510
2018-11-20,2.6090,2.6650,2.6770,2.6960,3.0530,3.2940,3.5050,3.5430
2018-11-21,2.5790,2.6560,2.6780,2.6970,3.0600,3.2870,3.5040,3.5440
2018-11-22,2.4560,2.6420,2.6680,2.6970,3.0640,3.2810,3.4950,3.5350
2018-11-23,2.3560,2.6280,2.6550,2.6910,3.0730,3.2750,3.4910,3.5290
2018-11-26,2.4980,2.6440,2.6610,2.6930,3.0850,3.2770,3.4880,3.5250
2018-11-27,2.5560,2.6430,2.6640,2.6970,3.0960,3.2780,3.4870,3.5270
2018-11-28,2.5390,2.6500,2.6630,2.6990,3.1040,3.2770,3.4860,3.5280
2018-11-29,2.2620,2.6500,2.6630,2.6969,3.1094,3.2767,3.4836,3.5278
2018-11-30,2.6420,2.6690,2.6730,2.7010,3.1130,3.2790,3.4830,3.5270
2018-12-3,2.5150,2.6180,2.6480,2.7140,3.1170,3.2750,3.4780,3.5270
2018-12-4,2.4450,2.6210,2.6410,2.7450,3.1260,3.2750,3.4780,3.5270
2018-12-5,2.2670,2.5810,2.6130,2.7820,3.1330,3.2760,3.4780,3.5260
2018-12-6,2.4180,2.6000,2.6120,2.8100,3.1330,3.2750,3.4780,3.5250
2018-12-7,2.4160,2.6110,2.6180,2.8280,3.1360,3.2770,3.4780,3.5250
2018-12-10,2.4530,2.6150,2.6220,2.8380,3.1420,3.2770,3.4780,3.5260
2018-12-11,2.4630,2.6240,2.6250,2.8480,3.1450,3.2740,3.4750,3.5210
2018-12-12,2.4240,2.6260,2.6310,2.8740,3.1470,3.2740,3.4770,3.5220
2018-12-13,2.5190,2.6360,2.6380,2.9000,3.1490,3.2730,3.4770,3.5200
2018-12-14,2.6550,2.6830,2.6760,2.9660,3.1560,3.2740,3.4790,3.5200
2018-12-17,2.6250,2.6970,2.7270,3.0020,3.1640,3.2750,3.4800,3.5200
2018-12-18,2.6690,2.6940,2.7670,3.0340,3.1740,3.2780,3.4820,3.5220
2018-12-19,2.6540,2.6900,2.7880,3.0470,3.1810,3.2780,3.4820,3.5240
2018-12-20,2.5670,2.6760,2.8190,3.1120,3.1990,3.2820,3.4810,3.5240
2018-12-21,2.4860,2.6490,2.8660,3.1540,3.2090,3.2840,3.4800,3.5170
2018-12-24,2.3160,2.6590,3.0300,3.2320,3.2300,3.2860,3.4800,3.5170
